"Codigo","Descricao","Dimensao","TemDim"
"S150451","COZEDOR DE MASSA A GAS GLP L700 360MM","","False"
"S150521","COIFA DE ENCOSTO C FILTROS E ILUMINAÇÃO-304- 1260X900X450 MM","1260X900X450","True"
"S150524","COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 304 - 2340X900X450MM","2340X900X450","True"
"S150526","COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 304 - 3000X900X450MM","3000X900X450","True"
"S150610","COIFA DE ENCOSTO C FILTRO INOX 430 2340X900X450MM","2340X900X450","True"
"S150624","COIFA DE ENCOSTO C- FILTROS E ILUMINAÇÃO - 430 - 2340X900X450MM","2340X900X450","True"
"S150625","COIFA DE ENCOSTO CFILTROS E ILUMINACAO-430- 2700X900X450 MM","2700X900X450","True"
"S150626","COIFA DE ENCOSTO C FILTRO E ILUMINAÇÃO - 430 300X900X450MM","300X900X450","True"
"S150628","COIFA DE CENTRO SFILTROS-INOX-430 -1260X1100X450 MM","1260X1100X450","True"
"S150643","COIFA DE CENTRO CFILTROS E ILUMINACAO-430-1620X1100X450 MM","1620X1100X450","True"
"S150659","COIFA DE CENTRO CFILTROS DUPLOS-INOX-430- 3000X1800X450 MM","3000X1800X450","True"
"S150670","KIT PRATELEIRA GRADEADA REMOVIVEL PARA LINHA AMERICANA 600MM","","False"
"S150671","KIT PRATELEIRA GRADEADA REMOVIVEL PARA LINHA AMERICANA 900MM","","False"
"S150672","KIT PRATELEIRA GRADEADA REMOVÍVEL P LINHA AMERICANA 1200MM","","False"
"S150673","KIT SUPORTE PARA UTENSILIOS PARA LINHA AMERICANA 300MM","","False"
"S150674","KIT SUPORTE PARA UTENSILIOS PARA LINHA AMERICANA 600MM","","False"
"S150675","KIT SUPORTE PARA UTENSILIOS LINHA AMERICANA 900MM","","False"
"S150676","KIT SUPORTE PARA UTENSILIOS 1200MM","","False"
"S151001","ARMARIO DML 304 -100X500X1800","100X500X1800","True"
"S151050","NORI BOX INOX 304 240X240X140MM","240X240X140","True"
"S151052","SUSHICASE INOX 304 PORTAS DE CORRER 1500X320X290MM","1500X320X290","True"
"S151055","CAMARA DE MATURAÇÃO PARA PESCADOS INOX 304 700X800X2050MM","700X800X2050","True"
"S151056","REFRIGERADOR BASE ESQ. INOXIDAVELINOXIDAVEL-2 PORTAS L 700- 1380X700X655 MM","1380X700X655","True"
"S151057","CAMARA DE MATURAÇÃO PARA PESCADOS INOX 2 PORTS INT. 1400X800X2050MM","1400X800X2050","True"
"S152073","MESA DE ENTRADA-SAIDA MAQ LAVAR 304 1000X620X900","1000X620X900","True"
"S152211","BANCADA ENC L PRO PRAT LISA 304 1800X700X900","1800X700X900","True"
"S152650","BANCADA DE ENCOSTO PARA DESCASCADOR-700X700X500 MM","700X700X500","True"
"S152701","TAMPO LISO DE SOBREPOR 800X700X40","800X700X40","True"
"S152759","TAMPO LISO DE ENCOSTO L  PRO-304-1600X700X40 MM","1600X700X40","True"
"S153050","ESTANTE 4 PLANOS LISOS  304 900X500X1750","900X500X1750","True"
"S153051","ESTANTE 4 PLANOS LISOS LP INOX 304 - 1200X500X1750MM","1200X500X1750","True"
"S153052","ESTANTE 4 PLANOS LISOS L P INOX 304 - 1500X500X1750MM","1500X500X1750","True"
"S153053","ESTANTE 4 PLANOS PERFURADOS LP 304 900X500X1750","900X500X1750","True"
"S153054","ESTANTE 4 PLANOS PERFURADOS LP INOX 304 - 1200X500X1750MM","1200X500X1750","True"
"S153055","ESTANTE 4 PLANOS PERFURADOS LP INOX 304 - 1500 X 500 X 1750MM","1500 X 500 X 1750","True"
"S153056","ESTANTE 4 PLANOS LISOS 304 1000X500X1750","1000X500X1750","True"
"S153057","ESTANTE 4 PLANOS PERFURADOS LP INOX 304 - 1000X500X1750MM","1000X500X1750","True"
"S153061","ESTANTE 4 PLANOS LISOS L P INOXIDAVEL 1500X500X1750MM","1500X500X1750","True"
"S153062","ESTANTE 4 PLAOS PERFURADOS LP 430 900X500X1750","900X500X1750","True"
