"Codigo","Descricao","Dimensao","TemDim"
"S157043","MODULO BAR BASE REFRIGERADA 3G CD INOX430AL- 2000X700X650MM","2000X700X650","True"
"S157049","MODULO BAR BASE REFRIG CAB ESQ. 3G CD INOXIDAVEL-2000X700X650MM","2000X700X650","True"
"S157053","MODULO BAR BASE REFRIGERADA 3P CD INOX - 2000X700X650MM","2000X700X650","True"
"S157057","MODULO BAR BASE REFRIGERADA 3G CE INOX - 2000X700X650MM","2000X700X650","True"
"S157058","MODULO CAIXA BASE ESQUERDA P MODULOS INOX 304 2000X515X250","2000X515X250","True"
"S158051","BANCADA DE CENTRO L PRO PRAT LISA-INOXDÁVEL - 800X700X900MM","800X700X900","True"
"S159364","PRATELEIRA SUP TUBULAR L PRO INOXIDAVEL - 2300X400","2300X400","True"
"S159501","PRATEL SUP LISA SOBRE MONTATES 1 PLANO-INOXIDAVEL 1000X400X500","1000X400X500","True"
"S159507","PRAT SUP LISA MONTANTES 1600X400X500","1600X400X500","True"
"S159509","PRATEL SUP LISA SOBRE MONTANTES 1 PLANO-304- 1800X500X500 MM","1800X500X500","True"
"S159527","PRATEL SUP LISA COBRE MONTANTES 2 PLANOS-INOXIDÁVEL -1500X400X800 MM","1500X400X800","True"
"S159532","PRATEL SUP LISA SOBRE MONTANTES 2 PLANOS  430 2000X400X800","2000X400X800","True"
"S159535","PRATEL SUP LISA SOBRE MONTANTES 2 PLANOS-INOXIDAVEL 2300X400X800","2300X400X800","True"
"S161071","ESTUFA FRIA BAIXA INOX CRISTAL - 1000X700X1250MM","1000X700X1250","True"
"S161072","ESTUFA FRIA BAIXA INOX CRISTAL - 1300X700X1250 MM","1300X700X1250","True"
"S161074","ESTUFA FRIA BAIXA PRETO CRISTAL - 1000X700X1250MM","1000X700X1250","True"
"S161077","ESTUFA AUTO SERVICO FRIA BAIXA INOX CRISTAL - 1000X700X1250MM","1000X700X1250","True"
"S161078","ESTUFA AUTO SERVICO FRIA BAIXA INOX CRISTAL - 1300X700X1250MM","1300X700X1250","True"
"S161082","ESTUFA QUENTE BAIXA INOX INVISIBLE LINE - 700X700X1250 MM","700X700X1250","True"
"S161094","ESTUFA DUPLA AQUECIDANEUTRA PRETA PARA PÃES AUTO SERVIÇO 1000X780X1280MM C DIVISORIAS ACRILICO","1000X780X1280","True"
"S162001","FOGAO A GAS 4 QUEIMADORES L900 - 900X960X270MM","900X960X270","True"
"S162002","FOGAO A GAS 6 QUEIMADORES L900 - 1350X960X270MM","1350X960X270","True"
"S162033","FRITADEIRA ELETRICA FULL 14 LITROS SOBREPOR 360X750X250MM 380 TRIF","360X750X250","True"
"S168","PIA DE ASSEPSIA 330X400X225MM C ACIONAMENTO DE JOELHO - PROTÓTIPO","330X400X225","True"
"S170000","HOT FOOD 03 GN'S-150 INOX 870X419X1407 MM","870X419X1407","True"
"S170003","GABINETE NEUTRO ACESSIBILIDADE","","False"
"S170004","500","","False"
"S170005","750","","False"
"S170006","850","","False"
"S170007","PIA ASSEPSIA","","False"
"S170008","ARMÁRIO VERTICAL PÃES 16 PLANOS","","False"
"S170010","MESA VINCADA DE ENCOSTO C 3 CUBAS 40X50X25 - 1500X700X900MM","40X50X25","True"
"S170011","TAMPA PARA CUBA 400X500X250 INOX 304","400X500X250","True"
"S170012","COMBIPACK INOX 597X755X1720","597X755X1720","True"
"S170013","BANCADA DE ENC. 304 LISA C-PRAT LISA 1500x700x900","1500x700x900","True"
"S170014","BANCADA DE ENC. 304 LISA C 2 PRAT. LISA 700X700X900MM","700X700X900","True"
"S170015","PRATELEIRA SUP LISA L PRO-INOX-304 - 1400X350X40MM","1400X350X40","True"
"S170016","ARMÁRIO VERTICAL RETARDER - 20 PLANOS","","False"
"S170017","CARRO CANTONEIRA PARA APOIO DE BANDEJAS COM 7 NIVEIS - 515X700X865","515X700X865","True"
"S170018","PRATELEIRA COM CLIP PARA COBERTURA MLL 640X750X460MM","640X750X460","True"
"S170019","ARMARIO ABERTO DML 540X400X800 INOX-304","540X400X800","True"
"S170020","LAVATÓRIO ASSEPSIA C TORNEIRA E ACIONAMENTO DE JOELHO 350x350mm","350x350","True"
"S170022","DISPLAY DE PÃO INOX 748X600X1535MM","748X600X1535","True"
"S170025","BANDEJA DE PÃO ALUMINIO 440X325X170","440X325X170","True"
"S170026","COMBIRACK ALUMINIO 727X531X1810MM","727X531X1810","True"
"S170028","VITRINE REFRIGERADA DE SOBREPOR VIDRO CURVO-625X523X510MM","625X523X510","True"
"S170031","GABINETE NEUTRO INOX COM PRATELEIRA 880x400x900MM","880x400x900","True"
"S170032","REFRIGERADOR HORIZ CAB DIR. 304-ALUMINIO 3 PORTAS 1880X700X900 TAMPO C.CUBA RED","1880X700X900","True"
"S170033","PASSAGEM BASCULANTE INOX 900X400X900MM","900X400X900","True"
"S170034","GABINETE NEUTRO INOX 1200X870X850 MM","1200X870X850","True"
"S170035","REFRIGERADOR HORIZONTAL 2 PORTAS 1380X700X900MM C TAMPO","1380X700X900","True"
"S170037","PRATELEIRA SUP LISA L PRO-INOX-304 - 1500X350X40MM","1500X350X40","True"
"S170038","MULTI PISTA DELIVERY - 1500x700x1900MM","1500x700x1900","True"
"S170039","VITRINE PORTA COOKIES 440x510x550MM","440x510x550","True"
"S170041","ARMARIO VERT PAES 16 PL ALUM 729X532X1810MM - anti-horário","729X532X1810","True"
"S170042","900","","False"
"S170045","REFRIGERADOR HORIZ CAB ESQ. 3 PORTAS 1880X700X900 TAMPO CUBA RED","1880X700X900","True"
"S170046","GABINETE NEUTRO INOX 900X400X900MM","900X400X900","True"
"S170047","PRATELEIRA SUP LISA L PRO-INOX-304 - 1400X300X40MM","1400X300X40","True"
"S170048","VITRINE REFRIGERADA PARA SALGADOS 625x510x550MM","625x510x550","True"
"S170049","MODUO POST MIX 1300X870X850MM","1300X870X850","True"
"S170050","PRATELEIRA SUP LISA L PRO-INOX-304 - 1500X300X40MM","1500X300X40","True"
"S170051","GABINETE NEUTRO INOX 1250X870X850 MM SEM MDF","1250X870X850","True"
"S170057","PRATELEIRA SUP LISA L PRO-304-1100X300MM","1100X300","True"
"S200117","MESA INOX 430 1,50X0,70X0,85 LISA PRAT. PERF","","False"
"S200118","MESA INOX 430 1,20X0,70X0,85 LISA PRAT. PERF","","False"
"S200188","MESA INOX 430 1,20X0,70X0,90 M-LISA PRAT.LISA","","False"
"S200444","MESA INOX 430 1,50X0,70X0,90 LISA PRAT LISA","","False"
"S200602","MESA INOX 430 0,65X0,70X0,90 M-LISA-PRAT.LISA","","False"
"S200629","MESA INOX 430 1,90X0,70X1,00 M-LISA-PRAT.LISA","","False"
"S200863","MESA INOX 304 1,50X0,70X0,85 LISA PRAT. PERF","","False"
"S200867","MESA ENC 304 PRAT LISA 1750X700X900","1750X700X900","True"
"S200971","CHAPA BIFETEIRA DE FOGAO 500X500","500X500","True"
"S200995","MÓDULO EXPOSITOR AQUECIDO BANHO MARIA 02 GN'S 1_1 700X1300X1360MM","700X1300X1360","True"
"S200996","MÓDULO EXPOSITOR AQUECIDO BANHO MARIA 4 GN'S 1_1 1565X1300X1360","1565X1300X1360","True"
"S201264","MESA INOX 430 1,90X0,70X0,90 M-LISA-PRAT.LISA","","False"
"S201347","ESTANTE INOX 304 0,90X0,50X1,80-COM 04 PRAT. PERF. FIXAÇÃO NO CHÃO #22","","False"
"S201432","REFRIG VERTICAL INOX_INOX-430 - 4 PORTAS - 1400X810X2050MM","1400X810X2050","True"
"S201487","FOGAO IND BAIXO 02 BOCAS 30X30 INOX 304 - 600X700X600 MM","30X30","True"
"S201488","FOGAO IND BAIXO 02 BOCA 50X50 INOX 304 - 1200X700X460 MM","50X50","True"
"S201489","FOGAO IND BAIXO 01 BOCA 50X50 INOX 304 - 600X700X460 MM","50X50","True"
"S201520","MESA ENC 304 1CBE 50X40X30X E 300 ELD PRAT LISA 1300X700X900","50X40X30","True"
"S201523","MESA  304 CX DEC 403X350X430 1  CESTO PERF 580X700X700","403X350X430","True"
"S201524","GUICHE PARA DEVOLUÇÃO 3 BOX 1040X400X650mm","1040X400X650","True"
"S201525","SHOUTS P TALHERES 150X150X480","150X150X480","True"
"S201526","MODULO EXPOSITOR LISO E NEUTRO 1200X1360X850MM","1200X1360X850","True"
"S201754","BANCADA ESQUELETO DE CENTRO L PRO CONTRAV 430 - 1400X700X900","1400X700X900","True"
"S201834","MESA INOX 430 0,50X0,70X0,85-LISA PRAT. LISA","","False"
"S202161","ESTANTE INOX 304 4 PLANOS LISOS 1000X500X1800","1000X500X1800","True"
"S202162","MODULO BANHO MARIA P 3GNs 11X100 - 1200X925X1420MM PROT C LED, GABINETE  E 1 CORRE BANDEJAS LISO","11X100","True"
"S202199","MODULO EXPOSITOR AQUEC 2GN 1-1-150 C TP 700X1630X1370MM","700X1630X1370","True"
"S202201","MODULO EXPOSITOR REFRI 3 GN 1-1 100 C TP 1200X1360X1370MM","1200X1360X1370","True"
"S202202","BANDEJA COLETORA EM AÇO INOX 600X400X20MM","600X400X20","True"
"S202222","CARRO P DETRITOS 80L C PEDAL","","False"
"S202474","ESTANTE 4 PLANOS PERFURADOS INOX 304-1400X400X1750 MM","1400X400X1750","True"
"S202476","ESTANTE 4 PLANOS PERFURADOS INOX 304 - 1400X500X1750MM","1400X500X1750","True"
"S202527","CARRO PLATAFORMA LISA-304- #16 -  1000X600X200MM ROD. 5","1000X600X200","True"
"S202607","CARRO TRANSP .ESQUELE. 304-472X615X1805- P20 BANDEJAS - 400X600","472X615X1805","True"
"S202622","ESTANTE 5 PLANOS LISOS LP INOX 304 - 1000X500X1750MM","1000X500X1750","True"
"S202719","GHICHE PARA DEVOLUÇÃO 2 BOX 800 x 400 x 480mm","800 x 400 x 480","True"
"S202805","GRELHA DE PISO L PRO INOX 304 -600X150X100MM C FUROS OBLONGOS","600X150X100","True"
"S202884","GABINETE APOIO PISTA -INOX 430 - 1500X645X850 MM P 04 GN'S","1500X645X850","True"
"S202892","MODULO EXP REFRIG 1200X1300X1250MM P_3GN'S S_REGUAS INOX 304","1200X1300X1250","True"
"S202913","CARRO CANTONEIRA P 20 BANDEJAS 400x600","400x600","True"
"S202944","CARRO ISOTERMICO C DRENO, SUPORTE P PA E ROD. 300X500X850","300X500X850","True"
"S202945","GRELHA DE PISO 304 CESTO PERF REM C GRAPAS 1100X180X40","1100X180X40","True"
"S202994","BANCADA DE ENCOSTO L PRO  PRAT LISA 304 - 1550X700X900","1550X700X900","True"
"S203106","MESA 430 CENTRO CONTRV 800X400X850","800X400X850","True"
"S203314","ESTANTE 4 PLANOS PERFURADOS LP INOX304 - 900X500X1750MM #18","900X500X1750","True"
"S203321","GRELHA DE PISO 304 CESTO PERF REMOV 1650X180X50","1650X180X50","True"
"S203351","PRATEL SUP LISA SOBRE MONT 2 PL-304-1500X400X800MM C 1º PL C RECORTE PARA GN'S E HEAT LAMP ESQ","1500X400X800","True"
"S203365","MESA 304 ENC ESP LE PRAT LISA 1150X700X900","1150X700X900","True"
"S203411","COIFA TIPO CAIXA DE CENTRO C FILTROS E ILUMINAÇÃO 3400X2100X450","3400X2100X450","True"
"S203467","MESA INOX 430 1,50X0,65X0,85 LISA PRAT. LISA","","False"
"S203488","MESA 3004 ELE PRAT LISA 1200X700X900","1200X700X900","True"
"S203610","FOGAO INDUSTRIAL INOX 4 B CENTRO 1000X1000X900 - GRELHA LISA","1000X1000X900","True"
"S203670","LAVA MOP 540X550X340 MM","540X550X340","True"
"S203676","DUTO RETANGULAR 590X380X600 MM","590X380X600","True"
"S203691","PIABACK  C-02 CUBAS 500X400X300 950620X1150","500X400X300","True"
"S203742","CURVA 90 GRAUS -  550X590X380 MM","550X590X380","True"
"S203754","MODULO AQUECIDO 3GN 1-1X100 1850X1060X1370MM PROT  C LED CORRE BANDEJA TUBULAR","1850X1060X1370","True"
"S203755","MODULO REFRIGERADA 3 GN 11X65 - 1200X1060X1370MM PROT C LED C 1 CORRE BANDEJA TUBULAR","11X65","True"
"S203844","MESA INOX 430 1,00X0,70X0,90 - LISA PRAT. LISA","","False"
"S203891","MESA CENTRO 1600X700X900 PRAT LISA INOX 430 COM TAMPO AQUEC","1600X700X900","True"
"S203906","MODULO EXPOSITOR AQUEC 4 GN 304 PROTETOR SALIVAR RETO 1565X1360X1370 mm","1565X1360X1370","True"
"S203966","PASS THRU REFRIG 2 PTA CEGA INOXIDAVEL-700X850X2050 7 PAR CANT E 7 GR","700X850X2050","True"
"S203967","PASS THRU AQUEC. AR FORÇADO 2PTA CEGA -700X850X2050-7 PAR CANT E 7 GR","700X850X2050","True"
"S204033","MESA DE APOIO C PRAT SOB MONTANTES 1600X800X1500","1600X800X1500","True"
"S204043","GRELHA DE PISO L PRO 600X150X75","600X150X75","True"
"S204085","MODULO CAIXA BASE P MODULOS INOX 304 - 1440X515X250MM","1440X515X250","True"
"S204086","MODULO GARRAFEIRO INOX 304 - 1440X290X215 MM","1440X290X215","True"
"S204088","CARRO P DETRITOS RED 478X740 S PEDAL-TAMPA C FUNIL- 304","478X740","True"
"S204105","CARRO PREMOLHO DE TALHERES - 872X640X690 MM","872X640X690","True"
"S204136","FOGAO INDUSTRIAL INOX 6 B CENTRO 1500X1000X900 - GRELHA LISA","1500X1000X900","True"
"S204217","CABEÇOTE SUP. DIR. C UNID. 11GNX 304 - 2040X380X500 MM","2040X380X500","True"
"S204260","MODULO CAIXA BASE P MODULOS C FURO P PING. INOX 304 - 1440X515X250 MM","1440X515X250","True"
"S204272","CABEÇOTE SOB. 09 GNS REFRI. HORIZ 304- 1696X380X150 C TAMPA","1696X380X150","True"
"S204377","MESA LISA CENTRO 430 PRAT LISA - 900X600X850","900X600X850","True"
"S204391","CORREBANDEJA 500X300","500X300","True"
"S204414","GRELHA DE PISO LP COM SAIDA INFERIOR CENTRAL 1000X150X75MM","1000X150X75","True"
"S204529","HEAT LAMP-1500X160X80MM-AQUEC. CERAMICA","1500X160X80","True"
"S204562","MESA 304 2CBD 60X50X40X E 750 ESP LE PRAT LISA 2300X700X900","60X50X40","True"
"S204563","MESA 304 ESP  LD PRAT LISA 1100X700X900","1100X700X900","True"
"S204800","MESA 304 ESP LE PRAT LISA 1800XX700X900","700X900","True"
"S204842","CARRO TRANSP CAIXAS C ROD INOX 304 - 500X500X190MM","500X500X190","True"
"S204848","MODULO BAR BASE REFRIG. 2 GAVETAS INOX-430 1440X700X630MM","1440X700X630","True"
"S204871","MODULO BANHO MARIA P 5GNs 11X100 - 1850X1205X1420MM PROT C LED, GABINETE E 2 CORRE BANDEJAS LISO","11X100","True"
"S204958","CABECOTE REFRI.SUP.ESQ.304- 10 GN 1_3X100 1860X380X500 C TAMPA","1860X380X500","True"
"S204972","FOOGAO INOXIDAVEL 06 QD ENCOSTO 1500X1000X900  GRELHA LISA TREF","1500X1000X900","True"
"S205139","MESA 304 1 CBD 40X50X30 E 250 ELE PRAT  LISA 1300X700X900","40X50X30","True"
"S205142","CONSERVADOR DE FRITURAS AF 450X680X326 MM","450X680X326","True"
"S205201","MESA  304 ESP LE PRAT LISA 1850X700X900","1850X700X900","True"
"S205279","COIFA DE ENCOSTO C FILTROS E ILUMINACAO-430- 2390X900X450 MM","2390X900X450","True"
"S205322","GHICHE PARA DEVOLUÇÃO 2 BOX 1200 x 400 x 680mm","1200 x 400 x 680","True"
"S205323","ESTANTE 4 PLANOS PERF LP INOX 304 - 1100X500X1750MM","1100X500X1750","True"
"S205345","TAMPO LISO INOX-430 ENC P REF FRZ HORIZONTAL 1650X700X40MM","1650X700X40","True"
"S205433","GUICHE INOX 304 PARA DEVOLUÇÃO 2 BOXES - 1200X400X480","1200X400X480","True"
"S205438","ARMARIO 304 DML  3 PRAT E GANCHO P VASSOURA 700X700X1800","700X700X1800","True"
"S205439","ARMARIO 304 P-EMBAL. E UTENS. 0,70X0,70X1,80 C3 PRAT. INTERM","","False"
"S205523","CARRO PARA REMOLHO DE TALHERES 600X625X580","600X625X580","True"
"S205612","REFRIGERADOR VERTICAL PRETO FOSCO-ALUM 1 PORTA VIDRO 700X800X2050","700X800X2050","True"
"S205622","ESQUELETO PARA GN'S INTERNO FREEZER","","False"
"S205650","FREEZER VERT. 2P BI-P. 430AL-700X800X2050 CROD 3 C 04 GRADES","700X800X2050","True"
"S205727","ESTANTE 4 PLANOS PERF 304 -700X500X1750","700X500X1750","True"
"S205859","GUICHE PARA DEVOLUCAO 1 BOX - 800X400X480 MM","800X400X480","True"
"S205876","ESTUFA PASTRY ZEPHYR CASE 2000X880X1370 MM","2000X880X1370","True"
"S205898","CARRO PARA DISPENSER DE COPOS","","False"
"S205906","BANC. CENTRO C-02 P. LISA-304- 625X800X900 C-RECOR. P-8 GNS 14","625X800X900","True"
"S205921","LAVATÓRIO PARA MOP 400X400X340MM","400X400X340","True"
"S205964","ESTANTE AQUECIDA 5 PLANOS LISOS 430 - 615X500X1750 MM COM FECHAMENTO TRASEIRO","615X500X1750","True"
"S205973","CARRO TANQUE 304-545X795X775 MM C TAMPA 190 LITROS","545X795X775","True"
"S206003","PRAT. SOBRE MONT. 3 PLANOS - 1° PLANO P 8GN'S 1_3X100 E 2 P. LISOS C SUPORTE BISNAGA SUPORTE DE ADESIVO ESQ","","False"
"S206042","GABINETE NEUTRO 304- 2175x700x900 TAMPO C CUBA 750x450x250 - 5 GAV. DIR","2175x700x900","True"
"S206043","GABINETE NEUTRO C1PORTA 304-375X730X930 TAMPO CCUBA REDOND Ø250 CTAMP- ESP TRAS 690MM","375X730X930","True"
"S206044","TAMPO LISO DE CENTRO P MAQ. GELO 304-380X700X350MM C MAO FRANCESA","380X700X350","True"
"S206045","RODAPE DE ACAB. P BASE FOGAO 304 - 1216X300X150MM","1216X300X150","True"
"S206046","PAINEL DE RESVESTIMENTO P COIFA 304 - 1975X303X457MM","1975X303X457","True"
"S206055","VITRINE AQUECIDA DE SOBREPOR 765X570X630 MM C PRAT. INTERM","765X570X630","True"
"S206057","PIA DE ASSEPSIAC ACIONAMENTO DE JOELHO C ESP LAT 330X400X470","330X400X470","True"
"S206116","REFRIG. HORIZ. 2GAV. CAB. DIR. 430AL-1100X1000X900MM C PISTA FRIA P 9GNS SUPERIOR C ROD","1100X1000X900","True"
"S206117","MODULO LIQUIDIFICADOR 500 INOX 200 C CUBA DE GELO - 500X880X850MM","500X880X850","True"
"S206162","TAMPA REMOVIVEL PARA CABEÇOTE REFRIGERADO #201 965X380","965X380","True"
"S206166","BANCADA ENC ESP LD PRAT LISA 1300X700X900","1300X700X900","True"
"S206168","GABINETE INOX-430  S TAMPO COM PORTA -290X800X650 MM","290X800X650","True"
"S206175","FOGAO WOK 02 BOCA ALTA PRESSAO-304","","False"
"S206182","ESTANTE 4 PLANOS LISOS - INOX 304 - 1100x500x1750mm","1100x500x1750","True"
"S206210","BANCADA LISA DE CENTRO LP 700X700X400","700X700X400","True"
"S206211","PISTA REFRIGERADA P 4GN - C GAB FECH INOX 304 1 CORRE BAND LISO 1530x895x900mm","1530x895x900","True"
"S206212","GABINETE NEUTRO COM PORTA - INOX 304 - 600x900x750mm","600x900x750","True"
"S206213","PISTA AQUECIDA BANHO MARIA P2GN - CGAB. INOX 304 E 2 CORRE BANDEJA LISO 700x1260x1420MM","700x1260x1420","True"
"S206214","ESTANTE 4 PLANOS LISOS - INOX 304 - 600x500x1750mm","600x500x1750","True"
"S206216","ARMARIO 304 DML 3 PRAT E GANCHO P VASSOURAS - 1300x500x1800mm","1300x500x1800","True"
"S206219","CARRO AUX 430 3 PLANOS COM APARADOR LAT - 530x780x900mm","530x780x900","True"
"S206220","CARRO AUX 430 2 PLANOS COM APARADOR E SUP GARRAFAS - 530x780x900mm","530x780x900","True"
"S206239","1000X700X900 - (ATUALIZAR)","1000X700X900","True"
"S206242","REFRIG. HORIZ. 2GAV. CAB.ESQ. CAB.REF. 6GN 1_3 - C_T.AQUEC E NICHO - 1880MM C_ROD 3GN 1_3 B.M","","False"
"S206244","ESTANTE DE 06 PLANOS LISOS COM RODIZIOS","","False"
"S206266","MESA DE CENTRO COM GN's 1900X700X850","1900X700X850","True"
"S206267","ESTUFA VERT. AQUEC. AR FORÇADO INOX 400 -700X800X2050MM PORTA VIDRO","700X800X2050","True"
"S206280","GRELHA PERFURADA ESCORREDOR DE COPOS 2030X98X20","2030X98X20","True"
"S206284","ESTAÇÃO CENTRAL NEUTRA FAST FOOD 1600 X 1105 X 900 INOX 430 - TAMPO AQUECIDO 2 LADOS","1600 X 1105 X 900","True"
"S206299","ESTUFA FRIA INOX SOBREPOR - FECHADO 700X675X625MM","700X675X625","True"
"S206312","CORRE BANDEJA 2600X300","2600X300","True"
"S206322","MESA PARA FORNO COMB. 058x0,60x0,80","","False"
"S206323","ESTUFA FRIA BAIXA PRETO - 1000X780X1300 MM","1000X780X1300","True"
"S206330","GABINETE NEUTRO COM PORTAS-INOX-304 - 800X700X900MM C-01GAV","800X700X900","True"
"S206344","REVESTIMENTO INOX 200 C LOGO SULFISA ILUMINADO - 1720X900","1720X900","True"
"S206351","BANCADA LISA CENTRO L PRO ROD - 600X600X900","600X600X900","True"
"S206356","CESTO PARA COZEDOR DE MASSAS A GAS INOX 304 COM ALÇAS 489x453x230mm","489x453x230","True"
"S206362","CARRO TRANSP. ESQUEL. 304 P20 ASSADEIRAS 580x700mm","580x700","True"
"S206363","CJ DE SISTEMA DE EXAUSTAO - AREÁ PANIFICAÇÃO 1800x1800x450mm","1800x1800x450","True"
"S206365","CJ DE SISTEMA DE EXAUSTAO - AREÁ FRANGO 2000x1000x450mm","2000x1000x450","True"
"S206372","CARRO GRADEADO APOIO 2 PLANOS C APARADOR 600X900X900","600X900X900","True"
"S206374","BASE DE APOIO TUBULAR LA 700X680X660","700X680X660","True"
"S206375","T DE CONEXÃO 90° VERTICAL 590x724x460mm","590x724x460","True"
"S206376","BANCADA PARA TOSTADOR DE PÃES LISO C 2 PRAT LISA E RODIZIO 500X800X900MM","500X800X900","True"
"S206377","ESTAÇÃO SULFISA DE MONTAGEM CENTRO 201-REFRIG. CAB.ESQ. CAB TAMPO AQUEC. 1600X1000X900 CROD-TOMADA PAD PARAGUAI","1600X1000X900","True"
"S206384","PIZZAROLA 8GN's 1-3x100","","False"
"S206385","BANCADA ENC LP PRAT LISA 304 -1300x700x1450mm PRAT MONT 1 PL E SUP ROLO ETIQUETA","1300x700x1450","True"
"S206386","GRELHA DE PISO L PRO INOX 304 -1160X200X100MM C FUROS OBLONGOS","1160X200X100","True"
"S206387","GRELHA DE PISO L PRO INOX 304 -2000X200X100MM C FUROS OBLONGOS","2000X200X100","True"
"S206388","GRELHA DE PISO L PRO INOX 304 -1520X200X100MM C FUROS OBLONGOS","1520X200X100","True"
"S206389","GRELHA DE PISO L PRO INOX 304 -1300X200X100MM C FUROS OBLONGOS","1300X200X100","True"
"S206390","GRELHA DE PISO L PRO INOX 304 -840X150X100MM C FUROS OBLONGOS","840X150X100","True"
"S206391","GRELHA DE PISO L PRO INOX 304 -300X150X100MM C FUROS OBLONGOS","300X150X100","True"
"S206392","GRELHA DE PISO L PRO INOX 304 -1080X150X100MM C FUROS OBLONGOS","1080X150X100","True"
"S206393","GRELHA DE PISO L PRO INOX 304 -1300X150X100MM C FUROS OBLONGOS","1300X150X100","True"
"S206394","GRELHA DE PISO L PRO INOX 304 -1200X150X100MM C FUROS OBLONGOS","1200X150X100","True"
"S206395","GRELHA DE PISO COM SISTEMA ABRE E FECHA","","False"
"S206396","GRELHA DE PISO L PRO INOX 304 -900X150X100MM C FUROS OBLONGOS","900X150X100","True"
"S206397","GRELHA DE PISO L PRO INOX 304 -1070X150X100MM C FUROS OBLONGOS","1070X150X100","True"
"S206398","GRELHA DE PISO L PRO INOX 304 -640X150X100MM C FUROS OBLONGOS","640X150X100","True"
"S206399","GRELHA DE PISO L PRO INOX 304 -400X150X100MM C FUROS OBLONGOS","400X150X100","True"
"S206400","BASE DE APOIO TUBULAR PARA CONSERVADOR DE FRITURAS LA FECHADO 370X660X680MM","370X660X680","True"
"S206401","MESA AQUECIDA P SAIDA DELIVERY 1500MM C PRAT. SOBRE MONT. 3 PLANOS P GNS E APOIO BISNAGAS","","False"
"S206411","CABEÇOTE P 10 GN'S REFRIG. SUP. HORIZ 304-1860x405x600mm","1860x405x600","True"
"S206412","PRATEL SUP LISA SOBRE MONTANTES 1 PLANO-304- 2000X500X500 MM (ATUALIZAR)","2000X500X500","True"
"S206416","PRATELEIRA SUP LISA 430 750X250","750X250","True"
"S206425","GABINETE NEUTRO COM PORTAS PERFURADAS -INOX-304 - 1400X690X1010 MM","1400X690X1010","True"
"S206426","PRATEL SUP LISA SOBRE MONTANTES 1 PLANO-304- 600X500X500 MM","600X500X500","True"
"S206427","GABINETE NEUTRO FECHADO COM PORTA -INOX 430 - 500X690X900 MM","500X690X900","True"
"S206429","DUTO REDUÇÃO 250MM - 651X444X250MM","651X444X250","True"
"S206430","REFRIG BASE 1 GAV INOXIDAVEL-AL CHICOTE PADRAO PARAGUAI - 1250X700X580","1250X700X580","True"
"S206431","CONSERVADOR DE FRITURA LA 350 TOMADA PADRAO PARAGUAI","","False"
"S206432","FREEZER P COPOS 430-AL TOMADA PARAGUAI 1000X710X1040","1000X710X1040","True"
"S206434","CONSERCADOR DE PROTEINAS INOX P 8 GNS PASS THRU CHICOTE PADRAO PARAGUAI 920X368X377","920X368X377","True"
"S206435","MODULO ESCORREDOR PARA SAIDA DE LINHA DE MONTAGEM FASTFOOD C PRATELEIRAS","","False"
"S206436","CAIXA TIMER 3 E 518X100X99","518X100X99","True"
"S206437","PISTA AQUECIDA BANHO MARIA P 4GN - C GAB FECH INOX 304 1 CORRE BAND LISO 1530x895x900mm","1530x895x900","True"
"S206438","GABINETE NEUTRO COM PORTAS - INOX 304 - 1000x600x750mm","1000x600x750","True"
"S206439","PISTA AQUECIDA BANHO MARIA P 4GN - C GAB FECH INOX 304 2 CORRE BAND LISO 1530x1260x900mm","1530x1260x900","True"
"S206444","SUPORTE PARA ABAFADOR DE HAMBURGUER INOX 200 - 1800X250MM C INCLINAÇÃO E ABA DE APOIO","1800X250","True"
"S206453","BANCADA DE ENTRADASAIDA MAQ. LAVAR 900X770X900MM INOX-304","900X770X900","True"
"S206454","BANCADA DE ENTRADASAIDA MAQ. LAVAR 1200X770X900MM INOX-304","1200X770X900","True"
"S206455","CAIXA DE INSPEÇÃO 304 SIFAO CESTO PERF 450X450","450X450","True"
"S206459","COIFA DE ENCOSTO S FILTRO S ILUMINAÇÃO 304 2000X600X450","2000X600X450","True"
"S206463","SHOUT PARA TALHERES DE SOBREPOR 304 - 480X400X400 MM","480X400X400","True"
"S206474","BANCADA ENC LP PRAT LISA 430 COM PRAT SOBRE MONT TUB 1 PLANO C SUP ROLO ETIQUETA 1600X700X1450","1600X700X1450","True"
"S206475","TAMPO PARA REFRIGERADOR CENTRO 1600X700","1600X700","True"
"S206490","GHICHE PARA DEVOLUÇÃO 2 BOX - INOX 304 760 x 350 x 630mm","760 x 350 x 630","True"
"S206491","GHICHE PARA DEVOLUÇÃO 4 BOX - INOX 304 450 x 350 x 1150mm","450 x 350 x 1150","True"
"S206496","ARMARIO VERTICAL ABERTO INOX 304 880x350x1500- C 2 PRAT INTERM COM PUXADOR E RODIZIOS","880x350x1500","True"
"S206497","REFRIG. HORIZ. 3P CAB. DIR. INOX 430_AL - 1880X700X900MM CTAMPO DE ENC. E PISTA P2GN 11","1880X700X900","True"
"S206498","REFRIG. HORIZ. 2 P CAB. DIR. INOXAL 430 - 1500X700X900MM C TAMPO DE CENTRO E PISTA P4GN 11","1500X700X900","True"
"S206499","GABINETE NEUTRO COM PORTAS DE CORRER -INOX-304 - 900X700X900 MM C TAMPO ENC","900X700X900","True"
