folderPath,fileCount,totalMB,relevanceScore
D:\2022\MOBILIARIO\MESAS\ESPECIAIS\S206641 - BANCADA CENTRO LP 2 PRAT LISA C RECORTE P 6 GN 1-3X100 E PRAT SOB MONT 1 ESQ 2000X400X500 - 2500X700X900\PROJETO\S206641,1,0.02,9
D:\2022\MOBILIARIO\GABINETES\COM GAVETAS\S153802 - GABINETE INOX-304 DE CENTRO COM GAVETAS 460X700X900 MM\PROJETO,2,0.06,9
"D:\2022\LINHA DELIVERY\S206646 - ILHA CENTRAL DELIVERY 304 - 2000X1000X1750MM BANHO MARIA, RECORTE TAMPO P GN'S E CANT\PROJETO",1,0.02,9
D:\2022\LINHA DELIVERY\REFRIGERADOR\S207313 - ESTAÇÃO DE MONTAGEM CENTRO - REFRIGERADOR 1P. CAB.ESQ. CCAB. REFRIGERADO P5GN'S-CT.AQUEC. CROD 1600X800X900MM\PROJETO,2,0.06,9
D:\2022\LINHA DELIVERY\PRATELEIRA\S207239 - PRAT. SUP LISA SOBRE MONTANTES 2 PLANOS-430  2000X400X800MM C SUPORTES P BISNAGAS\PROJETO,2,0.06,9
D:\2022\LINHA DELIVERY\GABINETE\S206923 - GABINETE NEUTRO ABERTO CENTRO-304-1600X700X900MM C RECORTE P 5 GN'S 1_3X100 TAMPO AQUECIDO E FECH. LATERAL\PROJETO,1,0.02,9
D:\2022\LINHA DELIVERY\MESA\S206924 - BANCADA DE CENTRO L PRO PRAT LISA-INOX-304- 1300X700X900 MM C RECORTE P 5 GNS\PROJETO,1,0.03,9
D:\2022\DISTRIBUIÇÃO\PISTAS\AQUECIDA\S155154 - PISTA AQUECIDA SECA PLANA 6 GN - 2170X640X560 MM\PROJETO,2,0.28,9
D:\2022\DISTRIBUIÇÃO\BANCADA AQUECIDA\S207491 - BANCADA DE CENTRO L PRO 01 PRAT LISA INOX 304 C RECORTE P 8 GNS TAMPO AQUECIDO C BANDEJAS COLETORAS 1600X1100X900\PROJETO,1,0.02,9
D:\2022\DISTRIBUIÇÃO\BANCADA AQUECIDA\S207334 - BANCADA ENC. 1 PRAT LISA 304-1600X800X900MM TAMPO AQUEC. CRECORTE P5GN 14-03 BANDEJAS COLETORAS PRAT. PARCIAL EMBALA\PROJETO,1,0.02,9
D:\2022\DISTRIBUIÇÃO\BANCADA AQUECIDA\S207325- BANCADA DE CENTRO L PRO PRAT LISA-INOX 430- 1600X700X900 MM C RECORTES P 5 GN'S  TAMPO AQUECIDO COM BANDEJAS COLETORAS\PROJETO,1,0.03,9
D:\2022\DISTRIBUIÇÃO\BANCADA AQUECIDA\S207238 - BANCADA DE CENTRO L PRO PRAT 430 2000X800X900X MM C RECORTE P  5 GNS 1-3 E TAMPO AQUECIDO\PROJETO,1,0.03,9
D:\2022\DISTRIBUIÇÃO\BANCADA AQUECIDA\S207213 - BANCADA DE CENTRO L PRO PRAT 304 1600X700X900X MM C RECORTE P  6 GNS 1-3 E TAMPO AQUECIDO\PROJETO,1,0.03,9
D:\2022\DISTRIBUIÇÃO\BANCADA AQUECIDA\S206856 - BANCADA DE CENTRO L PRO PRAT LISA-INOX 430- 1600X700X900 MM C RECORTES P 5 GN'S 13X100 TAMPO AQUECIDO\PROJETO,1,0.03,9
